t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
3.850000000000000089e-01,1.264807230171282326e-01,6.324036150856411934e+09,1.013222295347344233e-09,-1.093008768348841198e-08,-5.465043841744336532e+02,9.838420325245239573e-02,2.809651976467583689e-02,2.250779373184140047e-10
3.900000000000000133e-01,1.261440181666907134e-01,6.307200908334535599e+09,1.010524992127716819e-09,-1.065186193955343664e-08,-5.325930969776964048e+02,9.824538477992207641e-02,2.789863338676863702e-02,2.234926926640649628e-10
3.950000000000000178e-01,1.258158860875719653e-01,6.290794304378598213e+09,1.007896364377567313e-09,-1.038065553004162471e-08,-5.190327765020774677e+02,9.810926229393931997e-02,2.770662379363264538e-02,2.219545262459332897e-10
4.000000000000000222e-01,1.254961086097946543e-01,6.274805430489732742e+09,1.005334664362696091e-09,-1.011696404010133126e-08,-5.058482020050578285e+02,9.797586525891596732e-02,2.752024335087868701e-02,2.204614542938584520e-10
4.050000000000000266e-01,1.251844348589491174e-01,6.259221742947455406e+09,1.002837882357516744e-09,-9.861146231619450449e-09,-4.930573115809675073e+02,9.784524139282545219e-02,2.733919346612366519e-02,2.190110848191440429e-10
4.100000000000000311e-01,1.248806242729022936e-01,6.244031213645114899e+09,1.000404091246886472e-09,-9.612413859563009302e-09,-4.806206929781328654e+02,9.771741103107947635e-02,2.716321324182281727e-02,2.176013278020395180e-10
4.150000000000000355e-01,1.245844751756297747e-01,6.229223758781488419e+09,9.980316754277353349e-10,-9.369985621428827694e-09,-4.684992810714320512e+02,9.759236331719929602e-02,2.699211185843047867e-02,2.162306546094581600e-10
4.199999999999999845e-01,1.242957957700651511e-01,6.214789788503257751e+09,9.957190984361721141e-10,-9.133995628253458457e-09,-4.566997814126807498e+02,9.747008143745888864e-02,2.682571433260626248e-02,2.148976634703032864e-10
4.249999999999999889e-01,1.240143760096314857e-01,6.200718800481574059e+09,9.934646776136085031e-10,-8.904650857712934488e-09,-4.452325428856565850e+02,9.735055235168153798e-02,2.666382365794994769e-02,2.136007761893190756e-10
4.299999999999999933e-01,1.237400111787319568e-01,6.187000558936597824e+09,9.912667730073155311e-10,-8.681488565958821537e-09,-4.340744282979139825e+02,9.723377063718097180e-02,2.650624054155098497e-02,2.123383962542824468e-10
