t,S10,S11,T1
7.700000000000000178e-01,4.857954861774966757e-03,1.046587906712988843e-03,8.594611613365737979e-02
7.750000000000000222e-01,4.791100933119897716e-03,1.035876994513162171e-03,8.601508299887256070e-02
7.800000000000000266e-01,4.725893368809560256e-03,1.025430094079119413e-03,8.608213270544284867e-02
7.850000000000000311e-01,4.662291459096757837e-03,1.015240639974334313e-03,8.614731270964584575e-02
7.900000000000000355e-01,4.600255586372530535e-03,1.005302199755226918e-03,8.621066929062461137e-02
7.950000000000000400e-01,4.539747058461541390e-03,9.956085213902656373e-04,8.627224758034462981e-02
8.000000000000000444e-01,4.480728058241462662e-03,9.861535414788418288e-04,8.633209159237663355e-02
8.050000000000000488e-01,4.423161739462097564e-03,9.769313393307665037e-04,8.639024424920641043e-02
8.100000000000000533e-01,4.367012245429581149e-03,9.679361129499195696e-04,8.644674740911838240e-02
8.150000000000000577e-01,4.312244588642207693e-03,9.591622061995871929e-04,8.650164189356078503e-02
8.200000000000000622e-01,4.258824577496243997e-03,9.506041292445651042e-04,8.655496751251182119e-02
8.250000000000000666e-01,4.206718870928564426e-03,9.422565345835625696e-04,8.660676308917775179e-02
8.300000000000000711e-01,4.155895013593631157e-03,9.341141893249785408e-04,8.665706648508325616e-02
8.349999999999999645e-01,4.106321358849908572e-03,9.261719830657322728e-04,8.670591462404671212e-02
8.399999999999999689e-01,4.057966991627253057e-03,9.184249463129098021e-04,8.675334351512904718e-02
8.449999999999999734e-01,4.010801748949040409e-03,9.108682428148250033e-04,8.679938827518901556e-02
8.499999999999999778e-01,3.964796255814300764e-03,9.034971487548486757e-04,8.684408315175867754e-02
8.549999999999999822e-01,3.919921881144978852e-03,8.963070499690300487e-04,8.688746154424480117e-02
8.599999999999999867e-01,3.876150668685512425e-03,8.892934520814635034e-04,8.692955602463271758e-02
8.649999999999999911e-01,3.833455333837779838e-03,8.824519792629750966e-04,8.697039835856153200e-02
8.699999999999999956e-01,3.791809292764735783e-03,8.757783623215125443e-04,8.701001952535761252e-02
8.750000000000000000e-01,3.751186639641580257e-03,8.692684341211177152e-04,8.704844973723453727e-02
8.800000000000000044e-01,3.711562089762194920e-03,8.629181330912045686e-04,8.708571845822492274e-02
8.850000000000000089e-01,3.672910963116675104e-03,8.567235015684258881e-04,8.712185442334371976e-02
8.900000000000000133e-01,3.635209204399025406e-03,8.506806786966833065e-04,8.715688565633901430e-02
8.950000000000000178e-01,3.598433372851317803e-03,8.447858980962575422e-04,8.719083948702532894e-02
9.000000000000000222e-01,3.562560597098333656e-03,8.390354895883060053e-04,8.722374256897562350e-02
9.050000000000000266e-01,3.527568552782809133e-03,8.334258759078743859e-04,8.725562089627819651e-02
9.100000000000000311e-01,3.493435474064931004e-03,8.279535658197700312e-04,8.728649981963038096e-02
9.150000000000000355e-01,3.460140150426769569e-03,8.226151529875134561e-04,8.731640406222308803e-02
9.200000000000000400e-01,3.427661892022315637e-03,8.174073191313654604e-04,8.734535773577840889e-02
9.250000000000000444e-01,3.395980504867206033e-03,8.123268314294796680e-04,8.737338435542675585e-02
9.300000000000000488e-01,3.365076295316585687e-03,8.073705344372234969e-04,8.740050685423855770e-02
9.350000000000000533e-01,3.334930070508090091e-03,8.025353473174002628e-04,8.742674759807179952e-02
9.400000000000000577e-01,3.305523113175285865e-03,7.978182681128713656e-04,8.745212839958337037e-02
9.450000000000000622e-01,3.276837156353796555e-03,7.932163740900262253e-04,8.747667053172696050e-02
9.500000000000000666e-01,3.248854381657349626e-03,7.887268141085300574e-04,8.750039474109126691e-02
9.550000000000000711e-01,3.221557421593478771e-03,7.843468030052201537e-04,8.752332126132494894e-02
9.599999999999999645e-01,3.194929342427977464e-03,7.800736245184102359e-04,8.754546982560150459e-02
9.649999999999999689e-01,3.168953620334883682e-03,7.759046345082577876e-04,8.756685967880599442e-02
9.699999999999999734e-01,3.143614134226376845e-03,7.718372561307311431e-04,8.758750959000140279e-02
9.749999999999999778e-01,3.118895168250354621e-03,7.678689726801927930e-04,8.760743786415928214e-02
9.799999999999999822e-01,3.094781401175366372e-03,7.639973273111883359e-04,8.762666235345784038e-02
9.849999999999999867e-01,3.071257885492379054e-03,7.602199269502406525e-04,8.764520046850290957e-02
9.899999999999999911e-01,3.048310036592073377e-03,7.565344411534597954e-04,8.766306918956183469e-02
