t,S10,S11,T1
7.049999999999999600e-01,5.904937193631249782e-03,1.215077939292974951e-03,8.521103899388325631e-02
7.099999999999999645e-01,5.812567141762952326e-03,1.200281276736343350e-03,8.531394170614670092e-02
7.149999999999999689e-01,5.722477092655595121e-03,1.185851176473081510e-03,8.541419289047220975e-02
7.199999999999999734e-01,5.634610542785274158e-03,1.171778505004382335e-03,8.551185821137731458e-02
7.249999999999999778e-01,5.548912623738280238e-03,1.158054304845686612e-03,8.560700170254478825e-02
7.299999999999999822e-01,5.465329809997978086e-03,1.144669867256425597e-03,8.569968580805117919e-02
7.349999999999999867e-01,5.383809691825705915e-03,1.131616759324121377e-03,8.578997142158681366e-02
7.399999999999999911e-01,5.304301143473477004e-03,1.118886747280483946e-03,8.587791792471788366e-02
7.449999999999999956e-01,5.226754490404061232e-03,1.106471746896392754e-03,8.596358322573990907e-02
7.500000000000000000e-01,5.151121329450441579e-03,1.094363878925534023e-03,8.604702379582211680e-02
7.550000000000000044e-01,5.077354298640349498e-03,1.082555517422707780e-03,8.612829470436803025e-02
7.600000000000000089e-01,5.005407148714969938e-03,1.071039237862739246e-03,8.620744965466574372e-02
7.650000000000000133e-01,4.935234906536227310e-03,1.059807752617450850e-03,8.628454101813566590e-02
7.700000000000000178e-01,4.866793786479888494e-03,1.048853936804328103e-03,8.635961986690111891e-02
7.750000000000000222e-01,4.800040983354424140e-03,1.038170885326357082e-03,8.643273600592044081e-02
7.800000000000000266e-01,4.734934669727824952e-03,1.027751893814744799e-03,8.650393800564788738e-02
7.850000000000000311e-01,4.671434132403294408e-03,1.017590395588808963e-03,8.657327323223092119e-02
7.900000000000000355e-01,4.609499750776266218e-03,1.007679956849128399e-03,8.664078787691947836e-02
7.950000000000000400e-01,4.549092829460511800e-03,9.980143243362678881e-04,8.670652698596502395e-02
8.000000000000000444e-01,4.490175547822310848e-03,9.885874335967554782e-04,8.677053448935224955e-02
8.050000000000000488e-01,4.432711056376627962e-03,9.793933628615665923e-04,8.683285322805456286e-02
8.100000000000000533e-01,4.376663495639507989e-03,9.704263089415047930e-04,8.689352498086788668e-02
8.150000000000000577e-01,4.321997875277839955e-03,9.616806145444526744e-04,8.695259049172120169e-02
8.200000000000000622e-01,4.268680000583767800e-03,9.531507888266120424e-04,8.701008949499719480e-02
8.250000000000000666e-01,4.216676527504749881e-03,9.448314833204789426e-04,8.706606074018258257e-02
8.300000000000000711e-01,4.165954998084057601e-03,9.367174640959657558e-04,8.712054201691085686e-02
8.349999999999999645e-01,4.116483763146508434e-03,9.288036196991817988e-04,8.717357017889100501e-02
8.399999999999999689e-01,4.068231904884340479e-03,9.210849796786405854e-04,8.722518116681315936e-02
8.449999999999999734e-01,4.021169257595604354e-03,9.135567068889228776e-04,8.727541003086215776e-02
8.499999999999999778e-01,3.975266443843228532e-03,9.062140765966315110e-04,8.732429095354864168e-02
8.549999999999999822e-01,3.930494830253120249e-03,8.990524737026791982e-04,8.737185727087000420e-02
8.599999999999999867e-01,3.886826458146747879e-03,8.920674029436689596e-04,8.741814149297393033e-02
8.649999999999999911e-01,3.844234040464552474e-03,8.852544876554835178e-04,8.746317532519616578e-02
