t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
3.800000000000000044e-01,1.178294465837397692e-01,5.891472329186988831e+09,9.439179305680948910e-10,-1.323578656379163280e-08,-6.617893281895812834e+02,9.192245022698157519e-02,2.590699635675819401e-02,2.075379210996055190e-10
3.850000000000000089e-01,1.174220006166940972e-01,5.871100030834704399e+09,9.406539285280041672e-10,-1.288198311991666492e-08,-6.440991559958347352e+02,9.172865546189135078e-02,2.569334515480274639e-02,2.058263862816103529e-10
3.900000000000000133e-01,1.170254164383396633e-01,5.851270821916983604e+09,9.374769390081365883e-10,-1.253867916615345774e-08,-6.269339583076653071e+02,9.153909691395460679e-02,2.548631952438505655e-02,2.041679281431386392e-10
3.950000000000000178e-01,1.166393978187210967e-01,5.831969890936055183e+09,9.343845889449276219e-10,-1.220476687806018163e-08,-6.102383439030236332e+02,9.135375935173327411e-02,2.528563846698782258e-02,2.025602956378973563e-10
4.000000000000000222e-01,1.162636548061287550e-01,5.813182740306437492e+09,9.313745555691064495e-10,-1.188056429601075678e-08,-5.940282148005644558e+02,9.117262563293083988e-02,2.509102917319791515e-02,2.010013033215501650e-10
4.050000000000000266e-01,1.158978713200884275e-01,5.794893566004421234e+09,9.284443067969219764e-10,-1.156631771879673594e-08,-5.783158859398536151e+02,9.099568268959569439e-02,2.490218863049273312e-02,1.994885237961795969e-10
4.100000000000000311e-01,1.155417420361290887e-01,5.777087101806454659e+09,9.255913967097079996e-10,-1.126125646167727950e-08,-5.630628230838774471e+02,9.082289838102183821e-02,2.471884365510725046e-02,1.980197686185599495e-10
4.150000000000000355e-01,1.151949989761345272e-01,5.759749948806726456e+09,9.228136785660832307e-10,-1.096457625901909168e-08,-5.482288129509397550e+02,9.065421226426992329e-02,2.454078671186460392e-02,1.965933752486357900e-10
4.199999999999999845e-01,1.148573870139462522e-01,5.742869350697312355e+09,9.201091085801984579e-10,-1.067628353341349612e-08,-5.338141766706685303e+02,9.048957346964184301e-02,2.436781354430440916e-02,1.952077074117662356e-10
4.249999999999999889e-01,1.145286377705813513e-01,5.726431888529067993e+09,9.174755367993765158e-10,-1.039649053870502670e-08,-5.198245269352628384e+02,9.032893073869756317e-02,2.419970703188378813e-02,1.938610257806484787e-10
4.299999999999999933e-01,1.142084891135475011e-01,5.710424455677374840e+09,9.149108633108458255e-10,-1.012472767658697757e-08,-5.062363838293531444e+02,9.017222787847617438e-02,2.403626123507132673e-02,1.925516805977562896e-10
4.349999999999999978e-01,1.138967019738827552e-01,5.694835098694137573e+09,9.124131729610830609e-10,-9.860437459563714936e-09,-4.930218729781772709e+02,9.001939251622689819e-02,2.387730945765585699e-02,1.912783364792171422e-10
4.400000000000000022e-01,1.135930490147273042e-01,5.679652450736365318e+09,9.099806445810640119e-10,-9.603511304758441736e-09,-4.801755652379360981e+02,8.987034748604447176e-02,2.372270152868283244e-02,1.900397904230585698e-10
4.450000000000000067e-01,1.132972979443293698e-01,5.664864897216468811e+09,9.076114173087037184e-10,-9.353959582971937124e-09,-4.676979791485937312e+02,8.972502225630976658e-02,2.357227568801960327e-02,1.888347465877564108e-10
4.500000000000000111e-01,1.130092207785347302e-01,5.650461038926736832e+09,9.053036647895781318e-10,-9.111456903050089265e-09,-4.555728451524773845e+02,8.958334865698440452e-02,2.342587212155032572e-02,1.876619247210996884e-10
4.550000000000000155e-01,1.127286055349099453e-01,5.636430276745497704e+09,9.030556888571789633e-10,-8.875602320343246694e-09,-4.437801160171657102e+02,8.944524931412328739e-02,2.328335622078665790e-02,1.865202464902146240e-10
4.600000000000000200e-01,1.124552492542974375e-01,5.622762462714871407e+09,9.008658636294062868e-10,-8.646263901282665842e-09,-4.323131950641400181e+02,8.931064207145415768e-02,2.314460718284327978e-02,1.854087441573003437e-10
4.650000000000000244e-01,1.121889481889095652e-01,5.609447409445478439e+09,8.987325569065375386e-10,-8.423398193155656079e-09,-4.211699096577649470e+02,8.917944957231661862e-02,2.300949861659294660e-02,1.843264052178027144e-10
4.700000000000000289e-01,1.119295020916936806e-01,5.596475104584684372e+09,8.966541645328287019e-10,-8.206756603140533937e-09,-4.103378301570191979e+02,8.905159866088505072e-02,2.287790343080862987e-02,1.832722115587501067e-10
4.750000000000000333e-01,1.116767227308056443e-01,5.583836136540282249e+09,8.946291786049673502e-10,-7.996028428307248889e-09,-3.998014214153663488e+02,8.892701280463684299e-02,2.274970992616880128e-02,1.822452683699275771e-10
4.799999999999999822e-01,1.114304292517444145e-01,5.571521462587221146e+09,8.926561503186750634e-10,-7.791083534642011610e-09,-3.895541767320974031e+02,8.880561157985590592e-02,2.262481767188850856e-02,1.812447711120502286e-10
4.849999999999999867e-01,1.111904415449921496e-01,5.559522077249607086e+09,8.907336368376462972e-10,-7.591859657156480636e-09,-3.795929828578373417e+02,8.868731670709306680e-02,2.250312483789908280e-02,1.802699040363347463e-10
4.899999999999999911e-01,1.109565826423226792e-01,5.547829132116133690e+09,8.888602204900967759e-10,-7.398159072850463784e-09,-3.699079536425124388e+02,8.857205548863152089e-02,2.238452715369115831e-02,1.793198318439124797e-10
4.949999999999999956e-01,1.107286847751171310e-01,5.536434238755856514e+09,8.870345573012210248e-10,-7.209727745914721824e-09,-3.604863872957357671e+02,8.845975558110985570e-02,2.226892919400727533e-02,1.783937900941945405e-10
5.000000000000000000e-01,1.105065868308174881e-01,5.525329341540874481e+09,8.852553566171394308e-10,-7.026437554412044934e-09,-3.513218777205765946e+02,8.835024895705106962e-02,2.215633787376641850e-02,1.774918341817889772e-10
5.050000000000000044e-01,1.102901290375472021e-01,5.514506451877360344e+09,8.835213385240151438e-10,-6.848222371651899293e-09,-3.424111185826041037e+02,8.824312730490710410e-02,2.204700173264009799e-02,1.766159551289674137e-10
