t,S10,S11,T1
9.250000000000000444e-01,2.251659773217590688e-03,5.291816649405335030e-04,8.077724235900231309e-02
9.300000000000000488e-01,2.225296521552995975e-03,5.245166072521166914e-04,8.079327952934423074e-02
9.350000000000000533e-01,2.199558355793685641e-03,5.199530433692832899e-04,8.080866521238908029e-02
9.400000000000000577e-01,2.174428552755377445e-03,5.154882791769980696e-04,8.082341710089185893e-02
9.450000000000000622e-01,2.149890836268954046e-03,5.111196960119856591e-04,8.083755240694563693e-02
9.500000000000000666e-01,2.125929369456034702e-03,5.068447460353474321e-04,8.085108787543769659e-02
9.550000000000000711e-01,2.102528750112518316e-03,5.026609483759094223e-04,8.086403979661317687e-02
9.599999999999999645e-01,2.079673996004357747e-03,4.985658892778294018e-04,8.087642401823577631e-02
9.649999999999999689e-01,2.057350526482655539e-03,4.945572225716478136e-04,8.088825595778449673e-02
9.699999999999999734e-01,2.035544153073751833e-03,4.906326665672623927e-04,8.089955061426705452e-02
9.749999999999999778e-01,2.014241075269602565e-03,4.867899998382123903e-04,8.091032257940451722e-02
9.799999999999999822e-01,1.993427869712786904e-03,4.830270600810458465e-04,8.092058604861726567e-02
9.849999999999999867e-01,1.973091474122438526e-03,4.793417448413841986e-04,8.093035483210628267e-02
9.899999999999999911e-01,1.953219177013602523e-03,4.757320101019293620e-04,8.093964236515860389e-02
9.949999999999999956e-01,1.933798613039976015e-03,4.721958666440395874e-04,8.094846171817117464e-02
1.000000000000000000e+00,1.914817754732634544e-03,4.687313777811709381e-04,8.095682560681058404e-02
1.005000000000000115e+00,1.896264899508215678e-03,4.653366595255214403e-04,8.096474640163063563e-02
1.010000000000000009e+00,1.878128659139573177e-03,4.620098802435501292e-04,8.097223613730546166e-02
1.015000000000000124e+00,1.860397954189958129e-03,4.587492581669447398e-04,8.097930652176461852e-02
1.020000000000000018e+00,1.843062007536441869e-03,4.555530588110251488e-04,8.098596894527074208e-02
1.024999999999999911e+00,1.826110334131486948e-03,4.524195942535792531e-04,8.099223448889737720e-02
1.030000000000000027e+00,1.809532731027716857e-03,4.493472230072901577e-04,8.099811393281655669e-02
1.034999999999999920e+00,1.793319270972582296e-03,4.463343485958416994e-04,8.100361776471431963e-02
1.040000000000000036e+00,1.777460297065543192e-03,4.433794174178446856e-04,8.100875618765407404e-02
1.044999999999999929e+00,1.761946414630297022e-03,4.404809174308984328e-04,8.101353912768186061e-02
1.050000000000000044e+00,1.746768482128658283e-03,4.376373776552082645e-04,8.101797624145154475e-02
1.054999999999999938e+00,1.731917604683637282e-03,4.348473673532796103e-04,8.102207692362047020e-02
1.060000000000000053e+00,1.717385129134102375e-03,4.321094945757900097e-04,8.102585031384619552e-02
1.064999999999999947e+00,1.703162637375263497e-03,4.294224047895384188e-04,8.102930530365673456e-02
1.070000000000000062e+00,1.689241938409942597e-03,4.267847799782632768e-04,8.103245054338499564e-02
1.074999999999999956e+00,1.675615062220585328e-03,4.241953379102257745e-04,8.103529444861877484e-02
1.080000000000000071e+00,1.662274255019380222e-03,4.216528311782665210e-04,8.103784520647121237e-02
1.084999999999999964e+00,1.649211973430194126e-03,4.191560461075048141e-04,8.104011078193593121e-02
1.090000000000000080e+00,1.636420877845466866e-03,4.167038017804826485e-04,8.104209892390851211e-02
1.094999999999999973e+00,1.623893826711456838e-03,4.142949491535313257e-04,8.104381717096542648e-02
1.100000000000000089e+00,1.611623871928159193e-03,4.119283702318923346e-04,8.104527285707549544e-02
1.104999999999999982e+00,1.599604253791191534e-03,4.096029773061700321e-04,8.104647311728516157e-02
1.110000000000000098e+00,1.587828395334029948e-03,4.073177121685325102e-04,8.104742489302291242e-02
1.114999999999999991e+00,1.576289897092619406e-03,4.050715451760721043e-04,8.104813493728808826e-02
1.120000000000000107e+00,1.564982532674668615e-03,4.028634743380606867e-04,8.104860981991389435e-02
1.125000000000000000e+00,1.553900244474101756e-03,4.006925247041246232e-04,8.104885593249215592e-02
1.130000000000000115e+00,1.543037138738022947e-03,3.985577478337457339e-04,8.104887949313356599e-02
1.135000000000000009e+00,1.532387480680683697e-03,3.964582209908983556e-04,8.104868655123954879e-02
1.140000000000000124e+00,1.521945690462024169e-03,3.943930461960287086e-04,8.104828299213109877e-02
1.145000000000000018e+00,1.511706339448685554e-03,3.923613495548032137e-04,8.104767454143055327e-02
1.150000000000000133e+00,1.501664145898361094e-03,3.903622808581377998e-04,8.104686676935908551e-02
1.155000000000000027e+00,1.491813970454355801e-03,3.883950130178792388e-04,8.104586509508204806e-02
1.159999999999999920e+00,1.482150812508381760e-03,3.864587412339503636e-04,8.104467479074245473e-02
1.165000000000000036e+00,1.472669806888175868e-03,3.845526822253711127e-04,8.104330098538932436e-02
1.169999999999999929e+00,1.463366220020920335e-03,3.826760737800587024e-04,8.104174866895340335e-02
1.175000000000000044e+00,1.454235445994955930e-03,3.808281743997366160e-04,8.104002269602193775e-02
1.179999999999999938e+00,1.445273003152887413e-03,3.790082626812231415e-04,8.103812778945147788e-02
1.185000000000000053e+00,1.436474531050694172e-03,3.772156365444017962e-04,8.103606854394587722e-02
1.189999999999999947e+00,1.427835787160769854e-03,3.754496126770783177e-04,8.103384942961538995e-02
1.195000000000000062e+00,1.419352643447952715e-03,3.737095262345385390e-04,8.103147479530124764e-02
1.199999999999999956e+00,1.411021083192569086e-03,3.719947304315020698e-04,8.102894887181807948e-02
1.205000000000000071e+00,1.402837198101061474e-03,3.703045958870131919e-04,8.102627577525325919e-02
1.209999999999999964e+00,1.394797185542056032e-03,3.686385100269229474e-04,8.102345951005181235e-02
1.215000000000000080e+00,1.386897345570329296e-03,3.669958767216620712e-04,8.102050397199483944e-02
1.219999999999999973e+00,1.379134077945084373e-03,3.653761159780221008e-04,8.101741295118575215e-02
1.225000000000000089e+00,1.371503879494029949e-03,3.637786634730738838e-04,8.101419013495239629e-02
1.229999999999999982e+00,1.364003341682198727e-03,3.622029700038042208e-04,8.101083911059098197e-02
1.235000000000000098e+00,1.356629148019525928e-03,3.606485010509530406e-04,8.100736336805385018e-02
1.239999999999999991e+00,1.349378071347534036e-03,3.591147364685405617e-04,8.100376630267161482e-02
1.245000000000000107e+00,1.342246971467513919e-03,3.576011701635805804e-04,8.100005121768097394e-02
1.250000000000000000e+00,1.335232792936922284e-03,3.561073096620933688e-04,8.099622132668460317e-02
1.255000000000000115e+00,1.328332562731690449e-03,3.546326756544467408e-04,8.099227975613818020e-02
1.260000000000000009e+00,1.321543387920565788e-03,3.531768016545470197e-04,8.098822954771553451e-02
1.265000000000000124e+00,1.314862453501752619e-03,3.517392337278871435e-04,8.098407366057350232e-02
1.270000000000000018e+00,1.308287020355963651e-03,3.503195301688523736e-04,8.097981497358996972e-02
1.275000000000000133e+00,1.301814423170001523e-03,3.489172611107396044e-04,8.097545628759382497e-02
1.280000000000000027e+00,1.295442068425073498e-03,3.475320081711278427e-04,8.097100032744632137e-02
1.284999999999999920e+00,1.289167432450638150e-03,3.461633641680483364e-04,8.096644974407371520e-02
1.290000000000000036e+00,1.282988059505419569e-03,3.448109328526917134e-04,8.096180711653178097e-02
1.294999999999999929e+00,1.276901559975567859e-03,3.434743286193957723e-04,8.095707495393766884e-02
1.300000000000000044e+00,1.270905608587037227e-03,3.421531761824337021e-04,8.095225569733788262e-02
1.304999999999999938e+00,1.264997942626205083e-03,3.408471102684822499e-04,8.094735172157530023e-02
1.310000000000000053e+00,1.259176360240812746e-03,3.395557753648063338e-04,8.094236533710949533e-02
1.314999999999999947e+00,1.253438718830840936e-03,3.382788254952186387e-04,8.093729879173337804e-02
1.320000000000000062e+00,1.247782933437386861e-03,3.370159239601555352e-04,8.093215427225845804e-02
1.324999999999999956e+00,1.242206975122679257e-03,3.357667430405468804e-04,8.092693390621823191e-02
1.330000000000000071e+00,1.236708869494324622e-03,3.345309637430129491e-04,8.092163976345281839e-02
1.334999999999999964e+00,1.231286695263512183e-03,3.333082755964027286e-04,8.091627385764853242e-02
1.340000000000000080e+00,1.225938582752388647e-03,3.320983764440128610e-04,8.091083814789631901e-02
1.344999999999999973e+00,1.220662712479281698e-03,3.309009722028461342e-04,8.090533454017335979e-02
1.350000000000000089e+00,1.215457313837720868e-03,3.297157766132921314e-04,8.089976488876167438e-02
1.354999999999999982e+00,1.210320663792952868e-03,3.285425110267540345e-04,8.089413099764915238e-02
1.360000000000000098e+00,1.205251085546225984e-03,3.273809042277076291e-04,8.088843462192703282e-02
1.364999999999999991e+00,1.200246947281067905e-03,3.262306922508074569e-04,8.088267746909455491e-02
1.370000000000000107e+00,1.195306660970484871e-03,3.250916181615389465e-04,8.087686120033027448e-02
1.375000000000000000e+00,1.190428681179740104e-03,3.239634318350925074e-04,8.087098743178644522e-02
1.380000000000000115e+00,1.185611503920493918e-03,3.228458897874903139e-04,8.086505773579916179e-02
1.385000000000000009e+00,1.180853665521728810e-03,3.217387550277222706e-04,8.085907364205809078e-02
1.390000000000000124e+00,1.176153741521548468e-03,3.206417968789355413e-04,8.085303663877617397e-02
1.395000000000000018e+00,1.171510345610755031e-03,3.195547907774719297e-04,8.084694817382973020e-02
1.400000000000000133e+00,1.166922128626817455e-03,3.184775181000034988e-04,8.084080965583438638e-02
1.405000000000000027e+00,1.162387777540616930e-03,3.174097660252874690e-04,8.083462245519985878e-02
1.409999999999999920e+00,1.157906014434461651e-03,3.163513273901193894e-04,8.082838790519768224e-02
1.415000000000000036e+00,1.153475595575812352e-03,3.153020005265078172e-04,8.082210730295369405e-02
1.419999999999999929e+00,1.149095310521329504e-03,3.142615890942960545e-04,8.081578191041242920e-02
1.425000000000000044e+00,1.144763981189528095e-03,3.132299019356833583e-04,8.080941295531336721e-02
1.429999999999999938e+00,1.140480460969066660e-03,3.122067529545820242e-04,8.080300163211912023e-02
1.435000000000000053e+00,1.136243633879875778e-03,3.111919609881047349e-04,8.079654910290409719e-02
1.439999999999999947e+00,1.132052413756917111e-03,3.101853496582065084e-04,8.079005649823220447e-02
